,sex,rating,product,review,review_date,reviewer_id,clean_text
0,f,5.0,service,"İstanbul'da en sevdiğim mekan, analog dostu. Minicik bir dükkan ama bütün herkesin yüzü gülüyor, iyi ki varlar.",2017-03-08,44720,istanbulda sevdigim mekan analog dostu minicik bir dukkan butun herkesin yuzu guluyor iyi varlar
1,f,5.0,studio,KESİNLİKLE ÇOK GÜZEL BİR STÜDYO ,2017-10-17,46945,kesinlikle cok guzel bir studyo
2,f,5.0,service,Burayı hep sevdim,2017-01-03,92805,buray sevdim
3,m,5.0,wedding,"Düğün fotoğrafı için gitmiştik, çok güzel çekimler yaptılar. Hazırladıkları albüm süperdi, üstelik albüm için para almıyorlar",2017-01-19,51670,dugun fotograf icin gitmistik cok guzel cekimler yaptlar hazrladklar album superdi ustelik album icin para almyorlar
4,f,2.0,service,O kadar iyi diil tabi. Isim var sadece,2017-11-05,79719,kadar iyi diil tabi isim var sadece
5,m,5.0,engagement,bu kadar renkli bir ekip ile karşılaşacağımı tahmin etmiyodum ama herşey o kadar eğlenceliydi ve mükemmeldi ki sözlerle anlatamam yaşanılır sadece.. Herkese tavsiye edicem tekrar tekrar teşekkürler.,2017-05-12,81391,kadar renkli bir ekip karslasacagm tahmin etmiyodum hersey kadar eglenceliydi mukemmeldi sozlerle anlatamam yasanlr sadece herkese tavsiye edicem tekrar tekrar tesekkurler
6,f,1.0,price,Malesef fiyat bilgisi almadan girmiş bulundum bir daha asla uğramam. Sıradan vesikalık resme bir sürü para verdim..,2017-12-02,74573,malesef fiyat bilgisi almadan girmis bulundum bir asla ugramam sradan vesikalk resme bir suru para verdim
7,f,5.0,wedding,Eğer mutlu bir gün yaşıyorsanız bu anı burası aracılığıyla ölümsüzleştirin. :),2017-10-06,43524,eger mutlu bir gun yasyorsanz an bura araclgyla olumsuzlestirin
8,m,5.0,service,"Çekim kalitesi çok iyi, profesyonel bir ekip, kesinlikle tavsiye ederim..",2017-08-31,120801,cekim kalitesi cok iyi profesyonel bir ekip kesinlikle tavsiye ederim
9,m,4.0,service,Çok iyi fotoğraf çekimi çok pahalı bir fiyata ama bir kez oluyor derseniz ketifli bir çekim sonunda güzel fotoğraflarınız olacaktır. Benim kadar ciddi birini bile zorla güldürdüklerini hatırlıyorum.,2017-07-11,73369,cok iyi fotograf cekimi cok pahal bir fiyata bir oluyor derseniz ketifli bir cekim sonunda guzel fotograflarnz olacaktr benim kadar ciddi birini bile zorla guldurduklerini hatrlyorum
