,sex,rating,product,review,review_date,reviewer_id,clean_text,review_month,review_length
0,f,1,service,"İstanbul'da en sevdiğim mekan, analog dostu. Minicik bir dükkan ama bütün herkesin yüzü gülüyor, iyi ki varlar.",2017-03-08,44720,istanbulda sevdigim mekan analog dostu minicik dukkan butun herkesin yuzu guluyor iyi varlar,Mar,21
1,f,1,studio,KESİNLİKLE ÇOK GÜZEL BİR STÜDYO ,2017-10-17,46945,kesinlikle guzel studyo,Oct,5
2,f,1,service,Burayı hep sevdim,2017-01-03,92805,buray sevdim,Jan,3
3,m,1,wedding,"Düğün fotoğrafı için gitmiştik, çok güzel çekimler yaptılar. Hazırladıkları albüm süperdi, üstelik albüm için para almıyorlar",2017-01-19,51670,dugun gitmistik guzel cekimler yaptlar hazrladklar album superdi ustelik album para almyorlar,Jan,19
4,f,0,service,O kadar iyi diil tabi. Isim var sadece,2017-11-05,79719,kadar iyi diil tabi isim var sadece,Nov,9
5,m,1,engagement,bu kadar renkli bir ekip ile karşılaşacağımı tahmin etmiyodum ama herşey o kadar eğlenceliydi ve mükemmeldi ki sözlerle anlatamam yaşanılır sadece.. Herkese tavsiye edicem tekrar tekrar teşekkürler.,2017-05-12,81391,kadar renkli ekip karslasacagm tahmin etmiyodum hersey kadar eglenceliydi mukemmeldi sozlerle anlatamam yasanlr sadece herkese tavsiye edicem tekrar tekrar tesekkurler,May,28
6,f,0,price,Malesef fiyat bilgisi almadan girmiş bulundum bir daha asla uğramam. Sıradan vesikalık resme bir sürü para verdim..,2017-12-02,74573,malesef fiyat bilgisi almadan girmis bulundum asla ugramam sradan vesikalk resme suru para verdim,Dec,18
7,f,1,wedding,Eğer mutlu bir gün yaşıyorsanız bu anı burası aracılığıyla ölümsüzleştirin. :),2017-10-06,43524,eger mutlu gun yasyorsanz an bura araclgyla olumsuzlestirin,Oct,13
8,m,1,service,"Çekim kalitesi çok iyi, profesyonel bir ekip, kesinlikle tavsiye ederim..",2017-08-31,120801,cekim kalitesi iyi profesyonel ekip kesinlikle tavsiye,Aug,12
9,m,1,service,Çok iyi fotoğraf çekimi çok pahalı bir fiyata ama bir kez oluyor derseniz ketifli bir çekim sonunda güzel fotoğraflarınız olacaktır. Benim kadar ciddi birini bile zorla güldürdüklerini hatırlıyorum.,2017-07-11,73369,iyi cekimi pahal fiyata oluyor derseniz ketifli cekim sonunda guzel fotograflarnz olacaktr benim kadar ciddi birini bile zorla guldurduklerini hatrlyorum,Jul,30
